ticker,name,volume,trading_value,change_pct,score_trading,news_count,score_news,sector,theme_rank,score_theme,score_valuation,score_total,grade
044490,태웅,1264322,46060199625,9.97,1.008716756888867,0.0,50.0,금속,4,70.0,50.0,40.30261502706666,D
041190,우리기술투자,2461084,20742354085,1.68,0.4937136351056931,0.0,50.0,금융,9,20.0,100.0,40.148114090531706,D
190650,코리아에셋투자증권,1103416,12743221580,-6.27,0.293938966526382,0.0,50.0,금융,9,20.0,100.0,40.08818168995791,D
088350,한화생명,92055536,575896325665,29.92,14.259573297166298,0.0,50.0,보험,1,100.0,0.0,39.27787198914989,D
018880,한온시스템,45189429,227614801710,-6.17,5.822876696469128,0.0,50.0,기계·장비,5,60.0,50.0,39.246863008940736,D
032820,우리기술,62709422,935758403735,14.67,21.316335611054676,0.0,50.0,전기·전자,2,90.0,0.0,38.8949006833164,D
267320,나인테크,25427601,99955164303,5.73,2.675318471045597,0.0,50.0,기계·장비,5,60.0,50.0,38.30259554131368,D
011700,한신기계,15506552,87016978725,9.84,2.1872567656200754,0.0,50.0,기계·장비,5,60.0,50.0,38.15617702968602,D
036930,주성엔지니어링,1324284,72643507950,1.45,1.5775704474427696,0.0,50.0,기계·장비,5,60.0,50.0,37.97327113423283,D
043340,에쎈테크,16729826,12162767359,-10.23,0.6151813428709972,0.0,50.0,기계·장비,5,60.0,50.0,37.684554402861295,D
159010,아스플로,1862539,12577342365,-1.03,0.3066051637453759,0.0,50.0,기계·장비,5,60.0,50.0,37.591981549123616,D
000390,삼화페인트,1317329,12946691435,-1.62,0.30285040174227174,0.0,50.0,화학,10,10.0,100.0,37.59085512052268,D
009290,광동제약,20357725,205974943860,30.0,4.83067419498524,0.0,50.0,제약,11,0.0,100.0,36.449202258495575,D
047040,대우건설,19986146,157343206050,-1.64,3.7844168370589433,0.0,50.0,건설,11,0.0,100.0,36.13532505111768,D
046120,오르비텍,15019809,104959312235,11.32,2.5599466404472633,0.0,50.0,일반서비스,6,50.0,50.0,35.76798399213418,D
001200,유진투자증권,13638710,83705354035,-0.83,2.0766712892214496,0.0,50.0,증권,11,0.0,100.0,35.62300138676643,D
012030,DB,26941239,54581731632,6.42,1.7388791465485678,0.0,50.0,IT 서비스,11,0.0,100.0,35.52166374396457,D
036460,한국가스공사,1099976,49349238750,6.42,1.0754312853353538,0.0,50.0,전기·가스,11,0.0,100.0,35.32262938560061,D
024110,기업은행,1679519,47342641775,7.33,1.0449626187491559,0.0,50.0,은행,11,0.0,100.0,35.31348878562475,D
