ticker,name,volume,trading_value,close,change_pct,open,high,low
319400,현대무벡스,1923405,53363031950,27450,-1.79,28200,28500,27300
004060,SG세계물산,96839873,52553951753,591,29.89,462,591,448
030530,원익홀딩스,1481132,51962214100,34850,-4.52,36500,36550,34800
003380,하림지주,3072981,51430194445,16660,0.12,16640,17190,16310
006805,미래에셋증권우,1858751,51094433175,26900,-3.24,29550,29900,25550
036460,한국가스공사,1099976,49349238750,45600,6.42,43450,45700,43250
067310,하나마이크론,1405796,48292365875,34850,0.43,34700,35300,33550
024110,기업은행,1679519,47342641775,28550,7.33,26950,28700,26950
048410,현대바이오,3431856,46820580390,13670,-0.51,13770,14300,13100
125490,한라캐스트,2523024,46522461580,18300,-4.24,19120,19140,18220
044490,태웅,1264322,46060199625,36400,9.97,34550,38400,33500
460930,현대힘스,2255070,45432159100,19960,13.15,21200,21550,19450
054540,삼영엠텍,2953283,45110332150,15010,5.11,14530,16010,14280
010690,화신,3541212,45026635320,12690,9.49,12050,13740,11710
065500,오리엔트정공,15219214,43992163144,2775,6.12,2605,3150,2590
234340,헥토파이낸셜,1680116,43898198875,25300,-4.53,26250,27550,24950
457550,우진엔텍,1406875,42249323475,29250,1.21,28900,31200,28350
056080,유진로봇,1095164,40849527500,37100,-1.72,37750,38550,36500
100790,미래에셋벤처투자,1683274,39621225650,23300,-2.31,24250,24400,23050
000440,중앙에너비스,1939745,38310434335,20400,17.31,18330,21150,18200
175330,JB금융지주,1004175,37747436425,37500,2.46,36800,38500,36800
0013V0,삼진식품,3204597,37739502855,11480,1.23,11390,12400,11090
00680K,미래에셋증권2우B,1620294,36637872225,22500,-0.88,23600,23600,21700
019990,에너토크,3448022,34160293590,9630,6.41,9150,10600,9030
0001A0,덕양에너젠,1458607,33847098000,22700,-2.16,23500,23850,22550
003470,유안타증권,5571648,33054583880,5770,-1.87,6370,6370,5530
389140,포바이포,2691729,32931268720,12340,1.56,12530,12640,11600
138930,BNK금융지주,1446489,32808985025,22650,2.26,22350,23050,22150
049630,재영솔루텍,7567672,32082293410,4195,-6.15,4485,4490,4160
380550,뉴로핏,1096900,31595031625,27900,-8.82,30600,30600,27800
004310,현대약품,2281261,31102817490,13370,-5.85,14240,14490,13300
232140,와이씨,1424154,30421192400,21300,-4.7,22300,22300,20900
004410,서울식품,155339259,28582277598,172,-1.71,179,205,164
