ticker,name,volume,trading_value,close,change_pct,open,high,low
034020,두산에너빌리티,55550815,1511765183400,27600,12.42,24550,28250,24450
005930,삼성전자,23979779,1354475009700,56000,0.36,56000,57300,56000
042660,한화오션,10139029,777501775400,77900,0.52,76300,79500,73900
489790,한화비전,10373258,514671764200,48300,-11.21,53000,54500,46650
475830,오름테라퓨틱,19374053,481179723750,21800,9.0,21000,29950,20050
452450,피아이이,45057922,404801992350,9400,15.48,8260,9650,8130
272210,한화시스템,11547567,394837527150,34250,-1.86,35100,35600,33050
082740,한화엔진,13682385,353320516950,24350,-2.99,25650,28750,23750
253590,네오셈,21885722,266405269370,12440,23.9,11600,13000,10910
080220,제주반도체,13527879,262097530440,17750,-0.39,19860,20600,17660
295310,에이치브이엠,8168733,260616086700,32750,24.29,27150,34250,26950
035720,카카오,6091721,238791374650,38750,-3.61,40550,40600,38400
010140,삼성중공업,15311815,197236428290,12710,-5.22,13440,13440,12620
083650,비에이치아이,7759974,182865744750,23000,3.14,22000,24800,21600
004380,삼익THK,14233995,181276212720,13500,24.42,10800,13970,10630
240550,동방메디컬,16520626,168188131450,9900,2.27,9530,10950,9160
102120,어보브반도체,10620129,160372032180,13740,5.45,15150,16000,13710
042670,HD현대인프라코어,16698901,157680042530,9090,-1.94,9880,9950,9010
090710,휴림로봇,64045032,151471775655,2430,14.35,2150,2515,2125
212710,아이에스티이,6629001,118225295480,16930,-16.4,19770,19770,16160
065500,오리엔트정공,18966300,109058889340,5980,10.95,5340,6210,5230
475150,SK이터닉스,7421253,108295406110,14530,10.66,13200,15450,13200
474170,루미르,8209071,102297110770,12030,2.65,11670,13380,11600
092870,엑시콘,6686134,98943533440,14030,4.7,14730,15760,13510
464500,아이언디바이스,18719194,88177778155,4860,21.65,4220,5030,4150
232140,와이씨,6595635,84110143540,12400,1.89,12900,13270,12270
241520,DSC인베스트먼트,18108993,83001327085,4425,0.11,4385,4900,4210
119830,아이텍,7510055,44752424980,5560,3.54,5410,6290,5380
389140,포바이포,5723393,40272632270,6930,16.28,6080,7600,5690
080580,오킨스전자,6301281,39098386430,6290,17.13,5950,6580,5630
099430,바이오플러스,5163580,38370576580,7140,1.42,7510,7730,7080
452260,한화갤러리아,26777533,37914942678,1354,-3.29,1385,1504,1347
241790,티이엠씨씨엔에스,5276605,33943279870,5670,5.0,5390,6900,5330
255220,SG,9526307,32053028065,3320,-4.6,3485,3530,3265
032820,우리기술,13935621,29254081281,2085,4.88,1986,2175,1970
288330,파라택시스코리아,5063181,24385076775,4355,-21.11,5470,5530,4315
377030,비트맥스,13088988,23138197846,1795,23.28,1486,1890,1486
294090,이오플로우,7806750,22468965475,2825,21.77,2365,3015,2350
200470,에이팩트,6760305,19741674315,2725,5.62,2585,3090,2585
002630,오리엔트바이오,11751117,17821831805,1518,-0.26,1522,1553,1481
009730,이렘,12865857,16840519182,1338,19.36,1132,1396,1132
180400,DXVX,11757605,15863383988,1321,-29.36,1309,1540,1309
340930,유일에너테크,5372446,13227384305,2655,23.2,2100,2700,2015
